CIK,Filed As Of Date,Conformed Period Of Report,Keyword Whole,Keyword Item 1
0000014177,20150116,20141031,1,1
0000014177,20190118,20181102,1,1
0000014177,20090128,20081031,1,1
0000014177,20100128,20091030,1,1
0000014195,20090827,20090628,1,1
0000014195,20100826,20100627,1,1
0000014195,20110901,20110703,1,1
0000014195,20180828,20180701,1,1
0000014195,20170829,20170702,1,1
0000014195,20160830,20160703,1,1
0000014195,20150821,20150628,1,1
0000014195,20190827,20190630,1,
0000014195,20140826,20140629,1,1
0000014195,20120828,20120701,1,1
0000014195,20130827,20130630,1,1
0000014272,20190225,20181231,1,0
0000014272,20160212,20151231,1,1
0000014272,20180213,20171231,1,1
0000014272,20140214,20131231,1,1
0000014272,20170221,20161231,1,1
0000014272,20130215,20121231,1,1
0000014272,20150213,20141231,1,1
0000014272,20100219,20091231,1,1
0000014272,20090220,20081231,1,1
0000014272,20120217,20111231,1,1
0000014272,20110218,20101231,1,1
0000014693,20090626,20090430,1,1
0000014693,20190613,20190430,1,1
0000014693,20100625,20100430,1,1
0000014693,20120627,20120430,1,1
0000014693,20110627,20110430,1,1
0000014693,20160616,20160430,1,1
0000014693,20130627,20130430,1,1
0000014693,20180613,20180430,1,1
0000014693,20140620,20140430,1,1
0000014693,20150618,20150430,1,1
0000014693,20170615,20170430,1,1
0000014707,20170328,20170128,1,
0000014707,20180404,20180203,1,
0000014707,20190403,20190202,1,
0000014707,20160329,20160130,1,
0000014707,20150401,20150131,1,
0000014707,20120327,20120128,1,
0000014707,20110401,20110129,1,
0000014707,20090331,20080131,1,
0000014707,20100331,20100130,1,
0000014707,20130402,20130202,1,
0000014707,20140401,20140201,1,
0000014930,20110218,20101231,1,1
0000014930,20100223,20091231,1,1
0000014930,20090224,20081231,1,1
0000014930,20160217,20151231,1,1
0000014930,20170217,20161231,1,1
0000014930,20190219,20181231,1,1
0000014930,20140214,20131231,1,1
0000014930,20180220,20171231,1,1
0000014930,20150220,20141231,1,1
0000014930,20130221,20121231,1,1
0000014930,20120223,20111231,1,1
0000015615,20170224,20161231,1,1
0000015615,20180227,20171231,1,1
0000015615,20190228,20181231,1,1
0000015615,20090302,20081231,1,1
0000015615,20110223,20101231,1,1
0000015615,20100225,20091231,1,1
0000015615,20160226,20151231,1,1
0000015615,20120229,20111231,1,1
0000015615,20130228,20121231,1,1
0000015615,20150731,20141231,1,1
0000015615,20140227,20131231,1,1
0000016040,20091130,20090930,1,1
0000016040,20101129,20100930,1,1
0000016040,20131127,20130930,1,1
0000016040,20121129,20120930,1,1
0000016040,20151125,20150930,1,
0000016040,20111129,20110930,1,1
0000016040,20141126,20140930,1,1
0000016040,20171122,20170930,1,
0000016040,20161123,20160930,1,1
0000016040,20181121,20180930,1,1
0000016040,20191122,20190930,1,
0000016058,20190821,20190630,1,1
0000016058,20090826,20090630,1,1
0000016058,20100825,20100630,1,1
0000016058,20180820,20180630,1,1
0000016058,20120828,20120630,1,1
0000016058,20140828,20140630,1,1
0000016058,20170821,20170630,1,1
0000016058,20110829,20110630,1,1
0000016058,20160824,20160630,1,1
0000016058,20130827,20130630,1,1
0000016058,20150821,20150630,1,1
0000016099,20111114,20110831,1,1
0000016099,20101108,20100825,1,1
0000016099,20131112,20130828,1,1
0000016099,20181116,20180829,1,1
0000016099,20121113,20120829,1,1
0000016099,20161123,20160831,1,1
0000016099,20171113,20170830,1,1
0000016099,20151109,20150826,1,1
0000016099,20191126,20190828,1,1
0000016099,20141112,20140827,1,1
0000016099,20091109,20090826,1,1
0000016160,20100802,20100529,1,1
0000016160,20110804,20110528,1,1
0000016160,20180723,20180602,1,1
0000016160,20150720,20150530,1,1
0000016160,20090811,20090530,1,1
0000016160,20160718,20160528,1,1
0000016160,20120806,20120602,1,1
0000016160,20140728,20140531,1,1
0000016160,20170724,20170603,1,1
0000016160,20130805,20130601,1,1
0000016160,20190722,20190601,1,1
0000016918,20180423,20180228,1,1
0000016918,20160425,20160229,1,1
0000016918,20190423,20190228,1,1
0000016918,20120430,20120229,1,1
0000016918,20130429,20130228,1,1
0000016918,20170427,20170228,1,1
0000016918,20150428,20150228,1,1
0000016918,20140429,20140228,1,1
0000016918,20100429,20100228,1,0
0000016918,20090429,20090228,1,0
0000016918,20110429,20110228,1,0
0000017485,20110113,20100930,1,1
0000017485,20091217,20090930,1,1
0000017485,20111229,20110930,1,1
0000017485,20141215,20140930,1,1
0000017485,20121220,20120930,1,1
0000017485,20131223,20130930,1,1
0000017485,20151214,20150930,1,1
0000017843,20100820,20100630,1,1
0000017843,20190829,20190630,1,1
0000017843,20160818,20160630,1,1
0000017843,20110824,20110630,1,1
0000017843,20170811,20170630,1,1
0000017843,20120822,20120630,1,1
0000017843,20180814,20180630,1,1
0000017843,20140826,20140630,1,1
0000017843,20130823,20130630,1,1
0000017843,20150825,20150630,1,1
0000017843,20090820,20090630,1,1
0000018061,20090406,20090131,1,1
0000018061,20110404,20110131,1,1
