CIK,Filed As Of Date,Conformed Period Of Report,Keyword Whole,Keyword Item 1
0000786947,20140303,20131231,1,1
0000786947,20130304,20121231,1,1
0000786947,20150302,20141231,1,1
0000027430,20180227,20171231,1,
0000787250,20130227,20121231,1,
0000027430,20190227,20181231,1,
0000027430,20160224,20151231,1,
0000027430,20170227,20161231,1,
0000027430,20150226,20141231,1,
0000027430,20140305,20131231,1,
0000787250,20090227,20081231,1,
0000787250,20110218,20101231,1,
0000787250,20100212,20091231,1,
0000787250,20120328,20111231,1,
0000787253,20170918,20170630,1,
0000787253,20180919,20180630,1,1
0000787253,20190924,20190630,1,1
0000787253,20110922,20110630,1,1
0000787253,20100917,20100630,1,1
0000787253,20090928,20090630,1,1
0000787253,20160919,20160630,1,1
0000787253,20150918,20150630,1,1
0000787253,20120921,20120630,1,1
0000787253,20140925,20140630,1,1
0000787253,20130919,20130630,1,1
0000788329,20181207,20180928,1,1
0000788329,20111216,20110930,1,1
0000788329,20141205,20141003,1,1
0000788329,20101209,20101001,1,1
0000788329,20091211,20091002,1,1
0000788329,20090102,20081003,1,1
0000788329,20191206,20190927,1,
0000788329,20151208,20151002,1,
0000788329,20171208,20170929,1,
0000788329,20121211,20120928,1,1
0000788329,20161213,20160930,1,
0000788329,20131206,20130927,1,1
0000788611,20090326,20081231,0,0
0000788611,20100312,20091231,0,0
0000788611,20130416,20121231,1,1
0000788611,20120416,20111231,1,1
0000788611,20150331,20141231,1,1
0000788611,20160316,20151231,1,1
0000788611,20170331,20161231,1,1
0000788611,20140331,20131231,1,1
0000788611,20110415,20101231,1,1
0000788611,20180417,20171231,1,1
0000788611,20190401,20181231,1,1
0001158659,20110225,20101231,1,1
0000081033,20170227,20161231,1,1
0001158659,20190228,20181231,1,1
0000081033,20180226,20171231,1,1
0001158659,20120227,20111231,1,1
0001158659,20130226,20121231,1,1
0000081033,20160226,20151231,1,1
0001158659,20140226,20131231,1,1
0000081033,20150226,20141231,1,1
0000081033,20090226,20081231,1,1
0001158659,20100225,20091231,1,1
0000788920,20100928,20100630,1,1
0000788920,20190912,20190630,1,1
0000788920,20110914,20110630,1,1
0000788920,20140918,20140630,1,1
0000788920,20090917,20090630,1,1
0000788920,20150917,20150630,1,1
0000788920,20170914,20170630,1,1
0000788920,20160915,20160630,1,1
0000788920,20180913,20180630,1,1
0000788920,20120912,20120630,1,1
0000788920,20130927,20130630,1,1
0000788965,20140307,20131231,1,1
0000788965,20170310,20161231,1,1
0000788965,20160311,20151231,1,1
0000788965,20180313,20171231,1,1
0000788965,20190311,20181231,1,1
0000788965,20150306,20141231,1,0
0000788965,20130307,20121231,1,1
0000788965,20090326,20081231,1,1
0000788965,20100305,20091231,1,1
0000788965,20120302,20111231,1,1
0000788965,20110304,20101231,1,1
0000789019,20180803,20180630,1,1
0000789019,20090730,20090630,1,1
0000789019,20160728,20160630,1,1
0000789019,20150731,20150630,1,1
0000789019,20170802,20170630,1,1
0000789019,20190801,20190630,1,1
0000789019,20110728,20110630,1,1
0000789019,20120726,20120630,1,1
0000789019,20140731,20140630,1,1
0000789019,20130730,20130630,1,1
0000789019,20100730,20100630,1,1
0000789073,20100224,20091231,1,1
0000789073,20130226,20121231,1,1
0000789073,20120229,20111231,1,1
0000789073,20110223,20101231,1,1
0000789073,20140218,20131231,1,1
0000789073,20090227,20081231,1,1
0000789460,20100225,20091231,1,1
0000789460,20090226,20081231,1,1
0000789460,20110224,20101231,1,1
0000789460,20170221,20161231,1,1
0000789460,20180228,20171231,1,1
0000789460,20130221,20121231,1,1
0000789460,20160216,20151231,1,1
0000789460,20140214,20131231,1,1
0000789460,20120223,20111231,1,1
0000789460,20150212,20141231,1,1
0000789460,20190301,20181231,1,1
0000789570,20140303,20131231,1,1
0000789570,20180301,20171231,1,1
0000789570,20190227,20181231,1,1
0000789570,20160229,20151231,1,1
0000789570,20170301,20161231,1,1
0000789570,20150302,20141231,1,
0000789570,20120229,20111231,1,1
0000789570,20130301,20121231,1,1
0000789570,20100226,20091231,1,1
0000789570,20090317,20081231,1,1
0000789570,20110228,20101231,1,1
0000789933,20110302,20101231,1,1
0000789933,20090313,20081231,1,1
0000789933,20100302,20091231,1,1
0000789933,20190306,20181231,1,1
0000789933,20180307,20171231,1,1
0000789933,20120229,20111231,1,1
0000789933,20140304,20131231,1,1
0000789933,20170301,20161231,1,1
0000789933,20160302,20151231,1,1
0000789933,20130306,20121231,1,1
0000789933,20150309,20141231,1,1
0000790051,20180216,20171231,1,1
0000790051,20160208,20151231,1,1
0000790051,20190214,20181231,1,1
0000790051,20140219,20131231,1,1
0000790051,20170213,20161231,1,1
0000790051,20150210,20141231,1,1
0000790051,20110216,20101231,1,1
0000790051,20090227,20081231,1,1
0000790051,20100218,20091231,1,1
0000790051,20130212,20121231,1,1
0000790051,20120210,20111231,1,1
0000790070,20090302,20081231,1,1
0000790070,20100226,20091231,1,1
0000790070,20120224,20111231,1,1
0000790070,20150227,20141231,1,1
0000790070,20130227,20121231,1,1
0000790070,20110228,20101231,1,1
0000790070,20160225,20151231,1,1
0000790070,20140225,20131231,1,1
